case	variant	repeat	task_duration_us	output_sha256	profile
prefill_rope	vmi_candidate	1	86.540	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_candidate-1
prefill_rope	vmi_candidate	2	86.792	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_candidate-2
prefill_rope	vmi_candidate	3	87.276	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_candidate-3
prefill_rope	vmi_candidate	4	87.143	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_candidate-4
prefill_rope	vmi_candidate	5	85.783	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_candidate-5
prefill_rope	vmi_loop	1	83.610	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_loop-1
prefill_rope	vmi_loop	2	83.694	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_loop-2
prefill_rope	vmi_loop	3	84.094	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_loop-3
prefill_rope	vmi_loop	4	83.822	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_loop-4
prefill_rope	vmi_loop	5	83.148	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_loop-5
prefill_rope	vmi_fused	1	73.819	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-1
prefill_rope	vmi_fused	2	73.114	dce4d1b93d905fe256244125328c47dffbfddeae426ac1d6b4398e5c8a2b7c53	${RESULT_ROOT}/prefill_rope/profiles/vmi_fused-2
