case	variant	repeat	task_duration_us	output_sha256	profile
decode_comb_sinkhorn	vmi_candidate	2	59.930	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-2
decode_comb_sinkhorn	vmi_candidate	3	59.166	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-3
decode_comb_sinkhorn	vmi_candidate	4	59.922	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-4
decode_comb_sinkhorn	vmi_candidate	5	59.161	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_candidate-5
decode_comb_sinkhorn	vmi_loop	1	59.484	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_loop-1
decode_comb_sinkhorn	vmi_loop	2	59.283	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_loop-2
decode_comb_sinkhorn	vmi_loop	3	59.121	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_loop-3
decode_comb_sinkhorn	vmi_loop	4	59.939	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_loop-4
decode_comb_sinkhorn	vmi_loop	5	59.443	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_loop-5
decode_comb_sinkhorn	vmi_fused	1	60.013	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_fused-1
decode_comb_sinkhorn	vmi_fused	2	60.109	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_fused-2
decode_comb_sinkhorn	vmi_fused	3	59.492	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_fused-3
decode_comb_sinkhorn	vmi_fused	4	60.232	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_fused-4
decode_comb_sinkhorn	vmi_fused	5	60.012	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/decode_comb_sinkhorn/profiles/vmi_fused-5
prefill_comb_sinkhorn	ordinary	1	59.541	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/ordinary-1
prefill_comb_sinkhorn	ordinary	2	59.879	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/ordinary-2
prefill_comb_sinkhorn	ordinary	3	59.458	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/ordinary-3
prefill_comb_sinkhorn	ordinary	4	59.762	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/ordinary-4
prefill_comb_sinkhorn	ordinary	5	59.263	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/ordinary-5
prefill_comb_sinkhorn	vmi_candidate	1	59.522	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_candidate-1
prefill_comb_sinkhorn	vmi_candidate	2	59.651	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_candidate-2
prefill_comb_sinkhorn	vmi_candidate	3	58.826	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_candidate-3
prefill_comb_sinkhorn	vmi_candidate	4	59.743	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_candidate-4
prefill_comb_sinkhorn	vmi_candidate	5	59.307	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_candidate-5
prefill_comb_sinkhorn	vmi_loop	1	59.514	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-1
prefill_comb_sinkhorn	vmi_loop	2	59.479	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-2
prefill_comb_sinkhorn	vmi_loop	3	59.830	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-3
prefill_comb_sinkhorn	vmi_loop	4	59.979	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-4
prefill_comb_sinkhorn	vmi_loop	5	59.548	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_loop-5
prefill_comb_sinkhorn	vmi_fused	1	59.475	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-1
prefill_comb_sinkhorn	vmi_fused	2	59.801	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-2
prefill_comb_sinkhorn	vmi_fused	3	59.828	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-3
prefill_comb_sinkhorn	vmi_fused	4	60.177	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-4
prefill_comb_sinkhorn	vmi_fused	5	59.119	a7182d706c8addf01eedfc64099bca0c2a961f6be4a3382f4232f0ea28271dc6	${RESULT_ROOT}/prefill_comb_sinkhorn/profiles/vmi_fused-5
